"","Cause","State","Year","Deaths","Population","Crude.Rate","Nat_Pop","Nat_Mort","Nat_M_Rate","Comp_Rate","Comp_Cat"
"1","Infections and Parasites","AL",1999,1092,4430141,24.6,279040168,2391143,8.57,3,"1<x<=4"
"2","Infections and Parasites","AL",2000,1188,4447100,26.7,281421906,2403035,8.54,3,"1<x<=4"
"3","Infections and Parasites","AL",2001,1211,4467634,27.1,284968955,2416093,8.48,3,"1<x<=4"
"4","Infections and Parasites","AL",2002,1215,4480089,27.1,287625193,2443141,8.49,3,"1<x<=4"
"5","Infections and Parasites","AL",2003,1350,4503491,30,290107933,2448007,8.44,4,"1<x<=4"
"6","Infections and Parasites","AL",2004,1251,4530729,27.6,292805298,2397325,8.19,3,"1<x<=4"
"7","Infections and Parasites","AL",2005,1303,4569805,28.5,295516599,2447782,8.28,3,"1<x<=4"
"8","Infections and Parasites","AL",2006,1312,4628981,28.3,298379912,2425990,8.13,3,"1<x<=4"
"9","Infections and Parasites","AL",2007,1241,4672840,26.6,301231207,2423460,8.05,3,"1<x<=4"
"10","Infections and Parasites","AL",2008,1385,4718206,29.4,304093966,2471723,8.13,4,"1<x<=4"
"11","Infections and Parasites","AL",2009,1381,4757938,29,306771529,2436924,7.94,4,"1<x<=4"
"12","Infections and Parasites","AL",2010,1358,4779736,28.4,308745538,2468186,7.99,4,"1<x<=4"
"13","Infections and Parasites","AK",1999,61,624779,9.8,279040168,2391143,8.57,1,"x<=1"
"14","Infections and Parasites","AK",2000,51,626932,8.1,281421906,2403035,8.54,1,"x<=1"
"15","Infections and Parasites","AK",2001,58,633714,9.2,284968955,2416093,8.48,1,"x<=1"
"16","Infections and Parasites","AK",2002,67,642337,10.4,287625193,2443141,8.49,1,"x<=1"
"17","Infections and Parasites","AK",2003,61,648414,9.4,290107933,2448007,8.44,1,"x<=1"
"18","Infections and Parasites","AK",2004,53,659286,8,292805298,2397325,8.19,1,"x<=1"
"19","Infections and Parasites","AK",2005,68,666946,10.2,295516599,2447782,8.28,1,"x<=1"
"20","Infections and Parasites","AK",2006,65,675302,9.6,298379912,2425990,8.13,1,"x<=1"
"21","Infections and Parasites","AK",2007,78,680300,11.5,301231207,2423460,8.05,1,"x<=1"
"22","Infections and Parasites","AK",2008,70,687455,10.2,304093966,2471723,8.13,1,"x<=1"
"23","Infections and Parasites","AK",2009,73,698895,10.4,306771529,2436924,7.94,1,"x<=1"
"24","Infections and Parasites","AK",2010,88,710231,12.4,308745538,2468186,7.99,2,"1<x<=4"
"25","Infections and Parasites","AZ",1999,789,5023823,15.7,279040168,2391143,8.57,2,"1<x<=4"
"26","Infections and Parasites","AZ",2000,779,5130632,15.2,281421906,2403035,8.54,2,"1<x<=4"
"27","Infections and Parasites","AZ",2001,843,5273477,16,284968955,2416093,8.48,2,"1<x<=4"
"28","Infections and Parasites","AZ",2002,967,5396255,17.9,287625193,2443141,8.49,2,"1<x<=4"
"29","Infections and Parasites","AZ",2003,1097,5510364,19.9,290107933,2448007,8.44,2,"1<x<=4"
"30","Infections and Parasites","AZ",2004,1056,5652404,18.7,292805298,2397325,8.19,2,"1<x<=4"
"31","Infections and Parasites","AZ",2005,1097,5839077,18.8,295516599,2447782,8.28,2,"1<x<=4"
"32","Infections and Parasites","AZ",2006,1281,6029141,21.2,298379912,2425990,8.13,3,"1<x<=4"
"33","Infections and Parasites","AZ",2007,1194,6167681,19.4,301231207,2423460,8.05,2,"1<x<=4"
"34","Infections and Parasites","AZ",2008,1183,6280362,18.8,304093966,2471723,8.13,2,"1<x<=4"
"35","Infections and Parasites","AZ",2009,1311,6343154,20.7,306771529,2436924,7.94,3,"1<x<=4"
"36","Infections and Parasites","AZ",2010,1249,6392017,19.5,308745538,2468186,7.99,2,"1<x<=4"
"37","Infections and Parasites","AR",1999,702,2651860,26.5,279040168,2391143,8.57,3,"1<x<=4"
"38","Infections and Parasites","AR",2000,636,2673400,23.8,281421906,2403035,8.54,3,"1<x<=4"
"39","Infections and Parasites","AR",2001,719,2691571,26.7,284968955,2416093,8.48,3,"1<x<=4"
"40","Infections and Parasites","AR",2002,771,2705927,28.5,287625193,2443141,8.49,3,"1<x<=4"
"41","Infections and Parasites","AR",2003,768,2724816,28.2,290107933,2448007,8.44,3,"1<x<=4"
"42","Infections and Parasites","AR",2004,739,2749686,26.9,292805298,2397325,8.19,3,"1<x<=4"
"43","Infections and Parasites","AR",2005,784,2781097,28.2,295516599,2447782,8.28,3,"1<x<=4"
"44","Infections and Parasites","AR",2006,747,2821761,26.5,298379912,2425990,8.13,3,"1<x<=4"
"45","Infections and Parasites","AR",2007,719,2848650,25.2,301231207,2423460,8.05,3,"1<x<=4"
"46","Infections and Parasites","AR",2008,773,2874554,26.9,304093966,2471723,8.13,3,"1<x<=4"
"47","Infections and Parasites","AR",2009,786,2896843,27.1,306771529,2436924,7.94,3,"1<x<=4"
"48","Infections and Parasites","AR",2010,731,2915918,25.1,308745538,2468186,7.99,3,"1<x<=4"
"49","Infections and Parasites","CA",1999,4443,33499204,13.3,279040168,2391143,8.57,2,"1<x<=4"
"50","Infections and Parasites","CA",2000,4137,33871648,12.2,281421906,2403035,8.54,1,"x<=1"
"51","Infections and Parasites","CA",2001,4353,34479458,12.6,284968955,2416093,8.48,1,"x<=1"
"52","Infections and Parasites","CA",2002,4559,34871843,13.1,287625193,2443141,8.49,2,"1<x<=4"
"53","Infections and Parasites","CA",2003,4521,35253159,12.8,290107933,2448007,8.44,2,"1<x<=4"
"54","Infections and Parasites","CA",2004,4799,35574576,13.5,292805298,2397325,8.19,2,"1<x<=4"
"55","Infections and Parasites","CA",2005,4897,35827943,13.7,295516599,2447782,8.28,2,"1<x<=4"
"56","Infections and Parasites","CA",2006,4960,36021202,13.8,298379912,2425990,8.13,2,"1<x<=4"
"57","Infections and Parasites","CA",2007,4856,36250311,13.4,301231207,2423460,8.05,2,"1<x<=4"
"58","Infections and Parasites","CA",2008,5085,36604337,13.9,304093966,2471723,8.13,2,"1<x<=4"
"59","Infections and Parasites","CA",2009,5220,36961229,14.1,306771529,2436924,7.94,2,"1<x<=4"
"60","Infections and Parasites","CA",2010,5090,37253956,13.7,308745538,2468186,7.99,2,"1<x<=4"
"61","Infections and Parasites","CO",1999,533,4226018,12.6,279040168,2391143,8.57,1,"x<=1"
"62","Infections and Parasites","CO",2000,533,4301261,12.4,281421906,2403035,8.54,1,"x<=1"
"63","Infections and Parasites","CO",2001,568,4425687,12.8,284968955,2416093,8.48,2,"1<x<=4"
"64","Infections and Parasites","CO",2002,562,4490406,12.5,287625193,2443141,8.49,1,"x<=1"
"65","Infections and Parasites","CO",2003,676,4528732,14.9,290107933,2448007,8.44,2,"1<x<=4"
"66","Infections and Parasites","CO",2004,636,4575013,13.9,292805298,2397325,8.19,2,"1<x<=4"
"67","Infections and Parasites","CO",2005,620,4631888,13.4,295516599,2447782,8.28,2,"1<x<=4"
"68","Infections and Parasites","CO",2006,643,4720423,13.6,298379912,2425990,8.13,2,"1<x<=4"
"69","Infections and Parasites","CO",2007,641,4803868,13.3,301231207,2423460,8.05,2,"1<x<=4"
"70","Infections and Parasites","CO",2008,671,4889730,13.7,304093966,2471723,8.13,2,"1<x<=4"
"71","Infections and Parasites","CO",2009,748,4972195,15,306771529,2436924,7.94,2,"1<x<=4"
